target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p01|NP_041954.1|CDS|hypothetical	354	175	116	42.9371
NC_001604.1|T7p02|NP_041955.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p04|NP_041956.1|CDS|hypothetical	144	8.51793	0	0
NC_001604.1|T7p05|NP_041957.1|CDS|hypothetical	337	158	0	0
NC_001604.1|T7p06|NP_041958.1|CDS|hypothetical	162	11.5236	0	0
NC_001604.1|T7p03|NP_041959.1|CDS|protein	1080	901	188	13.5159
NC_001604.1|T7p07|NP_041960.1|CDS|T3/T7-like	2652	2473	196	5.13387
NC_001604.1|T7p09|NP_041961.1|CDS|hypothetical	129	6.9214	0	0
NC_001604.1|T7p08|NP_041962.1|CDS|host	258	79.0036	3	2.45973
NC_001604.1|T7p10|NP_041963.1|CDS|ATP-dependent	1080	901	16	1.15029
NC_001604.1|T7p11|NP_041964.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p12|NP_041965.1|CDS|hypothetical	90	4.62459	0	0
NC_001604.1|T7p13|NP_041966.1|CDS|hypothetical	261	82.002	5	3.94965
NC_001604.1|T7p14|NP_041967.1|CDS|hypothetical	591	412	14	2.20112
NC_001604.1|T7p15|NP_041968.1|CDS|hypothetical	147	8.91948	0	0
NC_001604.1|T7p16|NP_041969.1|CDS|inhibitor	195	23.5677	4	10.994
NC_001604.1|T7p17|NP_041970.1|CDS|single-stranded	699	520	7	0.871982
NC_001604.1|T7p18|NP_041971.1|CDS|hypothetical	420	241	5	1.3439
NC_001604.1|T7p19|NP_041972.1|CDS|endonuclease	450	271	11	2.62928
NC_001604.1|T7p20|NP_041973.1|CDS|lysozyme	456	277	5	1.16924
NC_001604.1|T7p21|NP_041974.1|CDS|putative	366	187	2	0.69279
NC_001604.1|T7p22|NP_041975.1|CDS|DNA	1701	1522	8.05291	0.342729
NC_001604.1|T7p23|NP_041976.1|CDS|hypothetical	123	6.43085	0	0
NC_001604.1|T7p24|NP_041977.1|CDS|helicase	1512	1333	8.94709	0.434775
NC_001604.1|T7p25|NP_041978.1|CDS|hypothetical	339	160	0	0
NC_001604.1|T7p26|NP_041979.1|CDS|hypothetical	213	36.0583	3	5.38926
NC_001604.1|T7p27|NP_041980.1|CDS|hypothetical	270	91.0003	0	0
NC_001604.1|T7p28|NP_041981.1|CDS|hypothetical	408	229	4	1.13146
NC_001604.1|T7p29|NP_041982.1|CDS|DNA	2115	1936	38	1.27143
NC_001604.1|T7p30|NP_041983.1|CDS|hypothetical	357	178	3	1.09173
NC_001604.1|T7p31|NP_041984.1|CDS|hypothetical	509	330	3.76419	0.738874
NC_001604.1|T7p32|NP_041985.1|CDS|host	300	121	0.619798	0.331801
NC_001604.1|T7p33|NP_041986.1|CDS|hypothetical	210	33.6633	1.61602	3.10958
NC_001604.1|T7p34|NP_041987.1|CDS|host	159	10.9088	0	0
NC_001604.1|T7p35|NP_041988.1|CDS|exonuclease	903	724	18	1.61045
NC_001604.1|T7p36|NP_041989.1|CDS|hypothetical	114	5.81021	0	0
NC_001604.1|T7p37|NP_041990.1|CDS|hypothetical	255	76.0064	2	1.70448
NC_001604.1|T7p38|NP_041991.1|CDS|hypothetical	267	88.0006	0	0
NC_001604.1|T7p39|NP_041992.1|CDS|hypothetical	402	223	10	2.90475
NC_001604.1|T7p40|NP_041993.1|CDS|tail	300	121	1	0.535337
NC_001604.1|T7p41|NP_041994.1|CDS|hypothetical	393	214	9	2.72422
NC_001604.1|T7p42|NP_041995.1|CDS|head-tail	1611	1432	24	1.08563
NC_001604.1|T7p43|NP_041996.1|CDS|capsid	924	745	26	2.26063
NC_001604.1|T7p45|NP_041998.1|CDS|major	1038	859	84	6.33431
NC_001604.1|T7p46|NP_041999.1|CDS|tail	591	412	8	1.25778
NC_001604.1|T7p47|NP_042000.1|CDS|tail	2385	2206	52	1.5269
NC_001604.1|T7p48|NP_042001.1|CDS|internal	417	238	3	0.816502
NC_001604.1|T7p49|NP_042002.1|CDS|internal	591	412	12	1.88667
NC_001604.1|T7p50|NP_042003.1|CDS|internal	2244	2065	36	1.12926
NC_001604.1|T7p51|NP_042004.1|CDS|internal	3957	3778	74	1.26877
NC_001604.1|T7p52|NP_042005.1|CDS|tail	1662	1483	32	1.39773
NC_001604.1|T7p53|NP_042006.1|CDS|type	204	29.2345	1	2.21573
NC_001604.1|T7p54|NP_042007.1|CDS|DNA	270	91.0003	3	2.13546
NC_001604.1|T7p55|NP_042008.1|CDS|phage	432	253	7	1.79222
NC_001604.1|T7p56|NP_042009.1|CDS|phage	252	73.0112	0	0
NC_001604.1|T7p57|NP_042010.1|CDS|DNA	1761	1582	30	1.22837
NC_001604.1|T7p58|NP_042011.1|CDS|hypothetical	258	79.0036	0	0
NC_001604.1|T7p59|NP_042012.1|CDS|hypothetical	174	14.6185	0	0
NC_001604.1|T7p60|NP_042013.1|CDS|hypothetical	150	9.35544	0	0
U00096.3|b0001|AAC73112.1|CDS|thrL	66	3.85692	0	0
U00096.3|b0002|AAC73113.1|CDS|thrA	2463	2284	144	4.08394
U00096.3|b0003|AAC73114.1|CDS|thrB	933	754	54	4.63912
U00096.3|b0004|AAC73115.1|CDS|thrC	1287	1108	73	4.26772
U00096.3|b0005|AAC73116.1|CDS|yaaX	297	118	3	1.64684
U00096.3|b0006|AAC73117.1|CDS|yaaA	777	598	61	6.60757
U00096.3|b0007|AAC73118.1|CDS|yaaJ	1431	1252	16	0.827806
U00096.3|b0008|AAC73119.1|CDS|talB	954	775	1866	155.963
U00096.3|b0009|AAC73120.1|CDS|mog	588	409	70	11.0863
U00096.3|b0010|AAC73121.1|CDS|satP	567	388	49	8.18045
U00096.3|b0011|AAC73122.1|CDS|yaaW	714	535	3	0.363229
U00096.3|b0013|AAC73124.1|CDS|yaaI	405	226	0	0
U00096.3|b0014|AAC73125.1|CDS|dnaK	1917	1738	6808	253.736
U00096.3|b0015|AAC73126.1|CDS|dnaJ	1131	952	722	49.1262
U00096.3|b0016|AAC73127.1|CDS|insL1	1113	934	222.667	15.4426
U00096.3|b0018|AAC73129.1|CDS|mokC	210	33.6633	3	5.77268
U00096.3|b4412|AAT48122.1|CDS|hokC	153	9.8295	0	0
U00096.3|b0019|AAC73130.1|CDS|nhaA	1167	988	87	5.70394
U00096.3|b0020|AAC73131.1|CDS|nhaR	906	727	31	2.76211
U00096.3|b0021|AAC73132.1|CDS|insB1	504	325	0	0
U00096.3|b0022|AAC73133.1|CDS|insA	276	97.0001	0	0
U00096.3|b0023|AAC73134.1|CDS|rpsT	264	85.0011	689	525.059
U00096.3|b0024|AAC73135.1|CDS|yaaY	219	41.1625	0	0
U00096.3|b0025|AAC73136.1|CDS|ribF	942	763	316	26.8272
U00096.3|b0026|AAC73137.1|CDS|ileS	2817	2638	1380	33.8858
U00096.3|b0027|AAC73138.1|CDS|lspA	495	316	106	21.7286
U00096.3|b0028|AAC73139.1|CDS|fkpB	450	271	92	21.9903
U00096.3|b0029|AAC73140.1|CDS|ispH	951	772	236	19.8019
U00096.3|b0030|AAC73141.1|CDS|rihC	915	736	118	10.3853
U00096.3|b0031|AAC73142.1|CDS|dapB	822	643	78	7.85772
U00096.3|b0032|AAC73143.1|CDS|carA	1149	970	40	2.67117
U00096.3|b0033|AAC73144.1|CDS|carB	3222	3043	118	2.51185
U00096.3|b0034|AAC73145.2|CDS|caiF	396	217	1	0.298506
U00096.3|b0035|AAC73146.2|CDS|caiE	591	412	2	0.314446
U00096.3|b0036|AAC73147.2|CDS|caiD	786	607	3	0.320144
U00096.3|b0037|AAC73148.2|CDS|caiC	1554	1375	15	0.706645
U00096.3|b0038|AAC73149.1|CDS|caiB	1218	1039	5	0.311722
U00096.3|b0039|AAC73150.1|CDS|caiA	1143	964	22	1.47829
U00096.3|b0040|AAC73151.1|CDS|caiT	1515	1336	5	0.242424
U00096.3|b0041|AAC73152.2|CDS|fixA	771	592	2	0.218837
U00096.3|b0042|AAC73153.1|CDS|fixB	942	763	5	0.424481
U00096.3|b0043|AAC73154.1|CDS|fixC	1287	1108	2	0.116924
U00096.3|b0044|AAC73155.1|CDS|fixX	288	109	0	0
U00096.3|b0045|AAC73156.1|CDS|yaaU	1332	1153	3	0.168541
U00096.3|b0046|AAC73157.1|CDS|kefF	531	352	9	1.6562
U00096.3|b0047|AAC73158.1|CDS|kefC	1863	1684	31	1.19243
U00096.3|b0048|AAC73159.1|CDS|folA	480	301	82	17.6466
U00096.3|b0049|AAC73160.1|CDS|apaH	843	664	78	7.60921
U00096.3|b0050|AAC73161.1|CDS|apaG	378	199	62	20.1814
U00096.3|b0051|AAC73162.1|CDS|rsmA	822	643	322	32.4383
U00096.3|b0052|AAC73163.1|CDS|pdxA	990	811	262	20.9263
U00096.3|b0053|AAC73164.1|CDS|surA	1287	1108	653	38.1756
U00096.3|b0054|AAC73165.1|CDS|lptD	2355	2176	1145	34.0847
U00096.3|b0055|AAC73166.1|CDS|djlA	816	637	62	6.30471
U00096.3|b4659|NA|CDS|yabP	806	627	57	5.88871
U00096.3|b0058|AAC73169.1|CDS|rluA	660	481	69	9.29217
U00096.3|b0059|AAC73170.1|CDS|rapA	2907	2728	541	12.8459
U00096.3|b0060|AAC73171.1|CDS|polB	2352	2173	73	2.17609
U00096.3|b0061|AAC73172.1|CDS|araD	696	517	1	0.125292
U00096.3|b0062|AAC73173.1|CDS|araA	1503	1324	7	0.34247
U00096.3|b0063|AAC73174.1|CDS|araB	1701	1522	5	0.212798
U00096.3|b0064|AAC73175.1|CDS|araC	879	700	56	5.18207
U00096.3|b0065|AAC73176.1|CDS|yabI	765	586	47	5.19533
U00096.3|b0066|AAC73177.1|CDS|thiQ	699	520	17	2.11767
U00096.3|b0067|AAC73178.1|CDS|thiP	1611	1432	40	1.80938
U00096.3|b0068|AAC73179.1|CDS|thiB	984	805	48	3.86241
U00096.3|b0069|AAC73180.1|CDS|sgrR	1656	1477	55	2.4121
U00096.3|b4662|ACO59989.1|CDS|sgrT	132	7.19434	0	0
U00096.3|b0070|AAT48123.1|CDS|setA	1179	1000	22	1.42507
U00096.3|b0071|AAC73182.1|CDS|leuD	606	427	7	1.0619
U00096.3|b0072|AAC73183.1|CDS|leuC	1401	1222	8	0.424064
U00096.3|b0073|AAC73184.2|CDS|leuB	1092	913	14	0.993277
U00096.3|b0074|AAC73185.1|CDS|leuA	1572	1393	15	0.697514
U00096.3|b0075|AAC73186.1|CDS|leuL	87	4.51079	0	0
U00096.3|b0076|AAC73187.2|CDS|leuO	945	766	9	0.761074
U00096.3|b0077|AAC73188.2|CDS|ilvI	1725	1546	16	0.670384
U00096.3|b0078|AAC73189.1|CDS|ilvH	492	313	7	1.44866
U00096.3|b0080|AAC73191.1|CDS|cra	1005	826	165	12.9395
U00096.3|b0081|AAC73192.1|CDS|mraZ	459	280	169	39.0968
U00096.3|b0082|AAC73193.1|CDS|rsmH	942	763	277	23.5163
U00096.3|b0083|AAC73194.1|CDS|ftsL	366	187	72	24.9404
U00096.3|b0084|AAC73195.1|CDS|ftsI	1767	1588	236	9.62663
U00096.3|b0085|AAC73196.1|CDS|murE	1488	1309	323	15.9836
U00096.3|b0086|AAC73197.1|CDS|murF	1359	1180	281	15.4254
U00096.3|b0087|AAC73198.1|CDS|mraY	1083	904	134	9.60173
U00096.3|b0088|AAC73199.1|CDS|murD	1317	1138	213	12.1241
U00096.3|b0089|AAC73200.1|CDS|ftsW	1245	1066	173	10.5124
U00096.3|b0090|AAC73201.1|CDS|murG	1068	889	179	13.0426
U00096.3|b0091|AAC73202.1|CDS|murC	1476	1297	249	12.4358
U00096.3|b0092|AAC73203.1|CDS|ddlB	921	742	226	19.7296
U00096.3|b0093|AAC73204.1|CDS|ftsQ	831	652	233	23.1484
U00096.3|b0094|AAC73205.1|CDS|ftsA	1263	1084	382	22.8269
U00096.3|b0095|AAC73206.1|CDS|ftsZ	1152	973	670	44.6041
U00096.3|b0096|AAC73207.1|CDS|lpxC	918	739	810	70.9992
U00096.3|b0097|AAC73208.2|CDS|secM	513	334	134	25.9879
U00096.3|b0098|AAC73209.1|CDS|secA	2706	2527	933	23.916
U00096.3|b0099|AAC73210.1|CDS|mutT	390	211	8	2.45596
U00096.3|b0101|AAC73212.1|CDS|yacG	198	25.324	21	53.7155
U00096.3|b0102|AAC73213.1|CDS|zapD	744	565	111	12.7259
U00096.3|b0103|AAC73214.1|CDS|coaE	621	442	75	10.9914
U00096.3|b0104|AAC73215.1|CDS|guaC	1044	865	201	15.052
U00096.3|b0106|AAC73217.1|CDS|hofC	1203	1024	21	1.32841
U00096.3|b0107|AAC73218.1|CDS|hofB	1386	1207	9	0.483001
U00096.3|b0108|AAC73219.1|CDS|ppdD	441	262	2	0.494472
U00096.3|b0109|AAC73220.1|CDS|nadC	894	715	48	4.34859
U00096.3|b0110|AAC73221.1|CDS|ampD	552	373	20	3.47323
U00096.3|b0111|AAC73222.1|CDS|ampE	855	676	25	2.39556
U00096.3|b0112|AAC73223.1|CDS|aroP	1374	1195	386	20.9234
U00096.3|b0113|AAC73224.1|CDS|pdhR	765	586	430	47.5317
U00096.3|b0114|AAC73225.1|CDS|aceE	2664	2485	8265	215.442
U00096.3|b0115|AAC73226.1|CDS|aceF	1893	1714	4840	182.914
U00096.3|b0116|AAC73227.1|CDS|lpd	1425	1246	5466	284.161
U00096.3|b0117|AAC73228.1|CDS|yacH	1854	1675	10	0.386721
U00096.3|b0118|AAC73229.1|CDS|acnB	2598	2419	2379	63.7047
U00096.3|b0119|AAC73230.2|CDS|yacL	363	184	51	17.9542
U00096.3|b0120|AAC73231.1|CDS|speD	795	616	469	49.318
U00096.3|b0121|AAC73232.1|CDS|speE	867	688	495	46.6047
U00096.3|b0122|AAC73233.2|CDS|yacC	348	169	26	9.96551
U00096.3|b0123|AAC73234.1|CDS|cueO	1551	1372	32	1.51081
U00096.3|b0124|AAC73235.1|CDS|gcd	2391	2212	121	3.54334
U00096.3|b0125|AAC73236.2|CDS|hpt	537	358	193	34.921
U00096.3|b0126|AAC73237.1|CDS|can	663	484	436	58.3518
U00096.3|b0127|AAC73238.1|CDS|yadG	927	748	121	10.4784
U00096.3|b0128|AAC73239.1|CDS|yadH	771	592	31	3.39198
U00096.3|b0129|AAC73240.1|CDS|yadI	441	262	3	0.741708
U00096.3|b0130|AAC73241.1|CDS|yadE	1230	1051	48	2.95836
U00096.3|b0131|AAC73242.1|CDS|panD	381	202	104	33.3499
U00096.3|b0132|AAC73243.1|CDS|yadD	903	724	13	1.1631
U00096.3|b0133|AAC73244.1|CDS|panC	852	673	132	12.7049
U00096.3|b0134|AAC73245.1|CDS|panB	795	616	116	12.198
U00096.3|b0135|AAC73246.1|CDS|yadC	1239	1060	18	1.09997
U00096.3|b0136|AAC73247.1|CDS|yadK	597	418	4	0.619864
U00096.3|b0137|AAC73248.1|CDS|yadL	606	427	3	0.455099
U00096.3|b0138|AAC73249.2|CDS|yadM	570	391	2	0.331334
U00096.3|b0139|AAC73250.1|CDS|htrE	2598	2419	6	0.160668
U00096.3|b0140|AAC73251.1|CDS|yadV	741	562	3	0.345778
U00096.3|b0141|AAC73252.1|CDS|yadN	585	406	3	0.478639
U00096.3|b0142|AAC73253.1|CDS|folK	480	301	20	4.30404
U00096.3|b0143|AAC73254.2|CDS|pcnB	1398	1219	600	31.8831
U00096.3|b0144|AAC73255.3|CDS|gluQ	927	748	88	7.62068
U00096.3|b0145|AAC73256.1|CDS|dksA	456	277	774	180.998
U00096.3|b0146|AAC73257.1|CDS|sfsA	705	526	111	13.6694
U00096.3|b0147|AAC73258.2|CDS|ligT	531	352	21	3.86447
U00096.3|b0148|AAC73259.2|CDS|hrpB	2430	2251	130	3.74094
U00096.3|b0149|AAC73260.1|CDS|mrcB	2535	2356	185	5.08639
U00096.3|b0150|AAC73261.1|CDS|fhuA	2244	2065	231	7.24611
U00096.3|b0151|AAC73262.1|CDS|fhuC	798	619	25	2.61615
U00096.3|b0152|AAC73263.1|CDS|fhuD	891	712	32	2.91127
U00096.3|b0153|AAC73264.1|CDS|fhuB	1983	1804	42	1.50808
U00096.3|b0154|AAC73265.1|CDS|hemL	1281	1102	312	18.3394
U00096.3|b0155|AAC73266.1|CDS|clcA	1422	1243	68	3.54365
U00096.3|b0156|AAC73267.1|CDS|erpA	345	166	99	38.6314
U00096.3|b0157|AAC73268.1|CDS|yadS	624	445	28	4.07578
U00096.3|b0158|AAC73269.1|CDS|btuF	801	622	51	5.3112
U00096.3|b0159|AAC73270.1|CDS|mtn	699	520	193	24.0418
U00096.3|b0160|AAC73271.1|CDS|dgt	1518	1339	40	1.93505
U00096.3|b0161|AAC73272.1|CDS|degP	1425	1246	400	20.7948
U00096.3|b0162|AAC73273.2|CDS|cdaR	1158	979	44	2.91127
U00096.3|b0163|AAC73274.1|CDS|yaeH	387	208	34	10.5884
U00096.3|b0164|AAC73275.2|CDS|yaeI	813	634	11	1.12387
U00096.3|b0166|AAC73277.1|CDS|dapD	825	646	351	35.1955
U00096.3|b0167|AAC73278.1|CDS|glnD	2673	2494	118	3.06477
U00096.3|b0168|AAC73279.1|CDS|map	795	616	347	36.489
U00096.3|b0169|AAC73280.1|CDS|rpsB	726	547	6326	749.126
U00096.3|b0170|AAC73281.1|CDS|tsf	852	673	3196	307.613
U00096.3|b0171|AAC73282.1|CDS|pyrH	726	547	512	60.6311
U00096.3|b0172|AAC73283.1|CDS|frr	558	379	928	158.607
U00096.3|b0173|AAC73284.1|CDS|dxr	1197	1018	190	12.0898
U00096.3|b0174|AAC73285.1|CDS|ispU	762	583	340	37.7766
U00096.3|b0175|AAC73286.2|CDS|cdsA	858	679	238	22.7049
U00096.3|b0176|AAC73287.1|CDS|rseP	1353	1174	729	40.2228
U00096.3|b0177|AAC73288.1|CDS|bamA	2433	2254	1848	53.1081
U00096.3|b0178|AAC73289.1|CDS|skp	486	307	502	105.92
U00096.3|b0179|AAC73290.1|CDS|lpxD	1026	847	1064	81.3713
U00096.3|b0180|AAC73291.1|CDS|fabZ	456	277	402	94.0068
U00096.3|b0181|AAC73292.1|CDS|lpxA	789	610	376	39.9274
U00096.3|b0182|AAC73293.1|CDS|lpxB	1149	970	254	16.9619
U00096.3|b0183|AAC73294.1|CDS|rnhB	597	418	109	16.8913
U00096.3|b0184|AAC73295.1|CDS|dnaE	3483	3304	647	12.6846
U00096.3|b0185|AAC73296.1|CDS|accA	960	781	537	44.5386
