target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p01|NP_041954.1|CDS|hypothetical	354	175	7540	747.3
NC_001604.1|T7p02|NP_041955.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p04|NP_041956.1|CDS|hypothetical	144	8.51793	0	0
NC_001604.1|T7p05|NP_041957.1|CDS|hypothetical	337	158	0	0
NC_001604.1|T7p06|NP_041958.1|CDS|hypothetical	162	11.5236	0	0
NC_001604.1|T7p03|NP_041959.1|CDS|protein	1080	901	9325	179.509
NC_001604.1|T7p07|NP_041960.1|CDS|T3/T7-like	2652	2473	6257	43.8837
NC_001604.1|T7p09|NP_041961.1|CDS|hypothetical	129	6.9214	0	0
NC_001604.1|T7p08|NP_041962.1|CDS|host	258	79.0036	76	16.6851
NC_001604.1|T7p10|NP_041963.1|CDS|ATP-dependent	1080	901	221	4.25431
NC_001604.1|T7p11|NP_041964.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p12|NP_041965.1|CDS|hypothetical	90	4.62459	0	0
NC_001604.1|T7p13|NP_041966.1|CDS|hypothetical	261	82.002	12	2.53816
NC_001604.1|T7p14|NP_041967.1|CDS|hypothetical	591	412	66	2.77849
NC_001604.1|T7p15|NP_041968.1|CDS|hypothetical	147	8.91948	0	0
NC_001604.1|T7p16|NP_041969.1|CDS|inhibitor	195	23.5677	6	4.41566
NC_001604.1|T7p17|NP_041970.1|CDS|single-stranded	699	520	162	5.40348
NC_001604.1|T7p18|NP_041971.1|CDS|hypothetical	420	241	66	4.74994
NC_001604.1|T7p19|NP_041972.1|CDS|endonuclease	450	271	55	3.5201
NC_001604.1|T7p20|NP_041973.1|CDS|lysozyme	456	277	108	6.76247
NC_001604.1|T7p21|NP_041974.1|CDS|putative	366	187	25	2.31878
NC_001604.1|T7p22|NP_041975.1|CDS|DNA	1701	1522	198.683	2.26416
NC_001604.1|T7p23|NP_041976.1|CDS|hypothetical	123	6.43085	0	0
NC_001604.1|T7p24|NP_041977.1|CDS|helicase	1512	1333	0.00242521	3.15559e-05
NC_001604.1|T7p25|NP_041978.1|CDS|hypothetical	339	160	25.3146	2.74418
NC_001604.1|T7p26|NP_041979.1|CDS|hypothetical	213	36.0583	32	15.3924
NC_001604.1|T7p27|NP_041980.1|CDS|hypothetical	270	91.0003	55	10.4829
NC_001604.1|T7p28|NP_041981.1|CDS|hypothetical	408	229	23	1.74202
NC_001604.1|T7p29|NP_041982.1|CDS|DNA	2115	1936	234	2.09639
NC_001604.1|T7p30|NP_041983.1|CDS|hypothetical	357	178	28	2.72835
NC_001604.1|T7p31|NP_041984.1|CDS|hypothetical	509	330	40.0895	2.10707
NC_001604.1|T7p32|NP_041985.1|CDS|host	300	121	0	0
NC_001604.1|T7p33|NP_041986.1|CDS|hypothetical	210	33.6633	7.91047	4.07575
NC_001604.1|T7p34|NP_041987.1|CDS|host	159	10.9088	1	1.58995
NC_001604.1|T7p35|NP_041988.1|CDS|exonuclease	903	724	146	3.49765
NC_001604.1|T7p36|NP_041989.1|CDS|hypothetical	114	5.81021	0	0
NC_001604.1|T7p37|NP_041990.1|CDS|hypothetical	255	76.0064	24	5.47675
NC_001604.1|T7p38|NP_041991.1|CDS|hypothetical	267	88.0006	28	5.51867
NC_001604.1|T7p39|NP_041992.1|CDS|hypothetical	402	223	45	3.50001
NC_001604.1|T7p40|NP_041993.1|CDS|tail	300	121	47	6.73712
NC_001604.1|T7p41|NP_041994.1|CDS|hypothetical	393	214	57	4.6198
NC_001604.1|T7p42|NP_041995.1|CDS|head-tail	1611	1432	274	3.31871
NC_001604.1|T7p43|NP_041996.1|CDS|capsid	924	745	262	6.09967
NC_001604.1|T7p45|NP_041998.1|CDS|major	1038	859	473	9.55058
NC_001604.1|T7p46|NP_041999.1|CDS|tail	591	412	33	1.38924
NC_001604.1|T7p47|NP_042000.1|CDS|tail	2385	2206	234	1.83981
NC_001604.1|T7p48|NP_042001.1|CDS|internal	417	238	25	1.8219
NC_001604.1|T7p49|NP_042002.1|CDS|internal	591	412	57	2.3996
NC_001604.1|T7p50|NP_042003.1|CDS|internal	2244	2065	295	2.47779
NC_001604.1|T7p51|NP_042004.1|CDS|internal	3957	3778	502	2.30464
NC_001604.1|T7p52|NP_042005.1|CDS|tail	1662	1483	317	3.70749
NC_001604.1|T7p53|NP_042006.1|CDS|type	204	29.2345	10	5.93289
NC_001604.1|T7p54|NP_042007.1|CDS|DNA	270	91.0003	10	1.90598
NC_001604.1|T7p55|NP_042008.1|CDS|phage	432	253	51	3.49632
NC_001604.1|T7p56|NP_042009.1|CDS|phage	252	73.0112	0	0
NC_001604.1|T7p57|NP_042010.1|CDS|DNA	1761	1582	354	3.88113
NC_001604.1|T7p58|NP_042011.1|CDS|hypothetical	258	79.0036	0	0
NC_001604.1|T7p59|NP_042012.1|CDS|hypothetical	174	14.6185	0	0
NC_001604.1|T7p60|NP_042013.1|CDS|hypothetical	150	9.35544	6	11.1237
U00096.3|b0001|AAC73112.1|CDS|thrL	66	3.85692	0	0
U00096.3|b0002|AAC73113.1|CDS|thrA	2463	2284	454	3.44764
U00096.3|b0003|AAC73114.1|CDS|thrB	933	754	147	3.38149
U00096.3|b0004|AAC73115.1|CDS|thrC	1287	1108	454	7.10686
U00096.3|b0005|AAC73116.1|CDS|yaaX	297	118	72	10.5831
U00096.3|b0006|AAC73117.1|CDS|yaaA	777	598	1165	33.7899
U00096.3|b0007|AAC73118.1|CDS|yaaJ	1431	1252	215	2.97849
U00096.3|b0008|AAC73119.1|CDS|talB	954	775	17709	396.327
U00096.3|b0009|AAC73120.1|CDS|mog	588	409	1749	74.17
U00096.3|b0010|AAC73121.1|CDS|satP	567	388	1161	51.8994
U00096.3|b0011|AAC73122.1|CDS|yaaW	714	535	85	2.75567
U00096.3|b0013|AAC73124.1|CDS|yaaI	405	226	30	2.30237
